title,genre,runtime,release,domestic
All Things Fair,Foreign,2 hrs. 5 min.,"March 8, 1996","$13,128"
All Things Must Pass,Documentary,1 hrs. 37 min.,"October 16, 2015","$172,394"
All Together,Foreign,1 hrs. 36 min.,"October 19, 2012","$43,180"
All You Need Is Love,Documentary,1 hrs. 23 min.,"October 31, 2014",Unknown
All's Faire in Love,Comedy,1 hrs. 44 min.,"October 28, 2011","$22,180"
"All's Well, End's Well (2012)",Foreign,1 hrs. 55 min.,"January 27, 2012","$47,919"
Allah Made Me Funny,Comedy,1 hrs. 23 min.,"October 3, 2008","$66,903"
Allan Quatermain and the Lost City of Gold,Unknown,1 hrs. 39 min.,"January 30, 1987","$3,751,699"
Allegheny Uprising,Action / Adventure,1 hrs. 21 min.,"November 10, 1939",Unknown
Allegro,Foreign,1 hrs. 28 min.,"May 9, 2007","$7,404"
Alleluia,Thriller,1 hrs. 33 min.,"July 17, 2015","$6,334"
Allied,Romantic Thriller,2 hrs. 1 min.,"November 23, 2016","$40,098,064"
The Allnighter,Unknown,1 hrs. 35 min.,"May 1, 1987","$2,700,000"
Almost an Angel,Comedy,1 hrs. 36 min.,"December 22, 1990","$6,939,946"
Almost Christmas,Comedy,1 hrs. 52 min.,"November 11, 2016","$42,065,185"
Almost Famous,Music Drama,2 hrs. 2 min.,"September 15, 2000","$32,534,850"
Almost Heroes,Adventure Comedy,1 hrs. 30 min.,"May 29, 1998","$6,136,856"
Almost Holy,Documentary,1 hrs. 40 min.,"May 20, 2016",Unknown
Almost Human,Sci-Fi Horror,1 hrs. 20 min.,"February 21, 2014","$8,447"
Almost in Love,Romantic Comedy,1 hrs. 23 min.,"February 15, 2013",Unknown
The Almost Man,Foreign,1 hrs. 15 min.,"August 1, 2014",Unknown
Almost Peaceful,Foreign,1 hrs. 34 min.,"August 20, 2004",Unknown
An Almost Perfect Affair,Romantic Comedy,1 hrs. 31 min.,"April 27, 1979","$85,493"
Almost Salinas,Unknown,1 hrs. 32 min.,"May 9, 2003","$21,419"
Almost Sunrise,Documentary,1 hrs. 38 min.,"July 14, 2017",Unknown
Almost You,Unknown,1 hrs. 36 min.,"March 29, 1985","$95,000"
Aloft,Drama,1 hrs. 52 min.,"May 22, 2015","$53,086"
Aloha,Comedy / Drama,1 hrs. 45 min.,"May 29, 2015","$21,067,116"
Aloha Summer,Unknown,1 hrs. 37 min.,"February 26, 1988","$418,379"
Alone in Berlin,Drama,1 hrs. 43 min.,"January 13, 2017","$33,125"
Alone in the Dark,Horror,1 hrs. 36 min.,"January 28, 2005","$5,178,569"
Alone with Her,Drama / Thriller,1 hrs. 19 min.,"January 17, 2007","$10,787"
Alone Yet Not Alone,Adventure,1 hrs. 43 min.,"September 27, 2013","$887,851"
Along Came a Spider,Thriller,1 hrs. 43 min.,"April 6, 2001","$74,078,174"
Along Came Polly,Romantic Comedy,1 hrs. 30 min.,"January 16, 2004","$88,097,164"
Along the Roadside,Comedy,1 hrs. 47 min.,"March 27, 2015","$1,352"
Alpha,Action Thriller,N/A,"March 2, 2018",Unknown
Alpha and Omega,Animation,1 hrs. 28 min.,"September 17, 2010","$25,107,267"
Alpha Dog,Drama,2 hrs. 2 min.,"January 12, 2007","$15,309,602"
Alphabet City,Unknown,1 hrs. 26 min.,"May 4, 1984","$7,035,585"
The Alphabet Killer,Drama / Thriller,1 hrs. 40 min.,"November 7, 2008","$29,784"
Alphaville (2013 re-release),Foreign,1 hrs. 39 min.,"February 7, 2014","$47,696"
Alps,Foreign,1 hrs. 33 min.,"July 13, 2012","$16,057"
Already Tomorrow in Hong Kong,Romantic Comedy,1 hrs. 18 min.,"February 12, 2016","$21,206"
Altered,Sci-Fi Horror,N/A,N/A,Unknown
Altered States,Sci-Fi Horror,1 hrs. 43 min.,"December 25, 1980","$19,853,892"
Altiplano,Drama,1 hrs. 49 min.,"August 20, 2010","$2,961"
Alvin and the Chipmunks,Family Comedy,1 hrs. 32 min.,"December 14, 2007","$217,326,974"
Alvin and the Chipmunks:Chipwrecked,Family Comedy,1 hrs. 27 min.,"December 16, 2011","$133,110,742"
Alvin and the Chipmunks:The Road Chip,Family Comedy,1 hrs. 26 min.,"December 18, 2015","$85,886,987"
Alvin and the Chipmunks:The Squeakquel,Family Comedy,1 hrs. 28 min.,"December 23, 2009","$219,614,612"
Always,Drama,2 hrs. 3 min.,"December 22, 1989","$43,858,790"
Always Kabhi Kabhi,Foreign,N/A,"June 17, 2011",Unknown
Always Shine,Thriller,1 hrs. 27 min.,"November 25, 2016","$17,102"
Dunkirk,Action Thriller,1 hrs. 46 min.,"July 21, 2017",Unknown
Amadeus,Music Drama,2 hrs. 38 min.,"September 21, 1984","$51,564,280"
Amadeus (Director's Cut),Unknown,3 hrs. 8 min.,"April 5, 2002","$408,749"
Amandla!,Unknown,1 hrs. 43 min.,"February 19, 2003","$405,331"
Amarcord,Comedy / Drama,2 hrs. 3 min.,N/A,"$126,250"
Amateur,Crime Comedy,1 hrs. 41 min.,"May 19, 1995","$757,088"
The Amateur,Unknown,1 hrs. 52 min.,"February 12, 1982","$6,892,098"
The Amateurs,Comedy,1 hrs. 36 min.,"December 7, 2007","$16,334"
The Amati Girls,Unknown,1 hrs. 31 min.,"January 19, 2001","$49,136"
The Amazing Catfish,Foreign,1 hrs. 29 min.,"June 13, 2014","$11,342"
An Amazing Couple:Trilogy 2,Foreign,1 hrs. 40 min.,"February 6, 2004","$47,806"
Amazing Grace,Period Drama,1 hrs. 51 min.,"February 23, 2007","$21,250,683"
Amazing Grace and Chuck,Unknown,1 hrs. 54 min.,"April 10, 1987",Unknown
The Amazing Panda Adventure,Family Adventure,1 hrs. 24 min.,"August 25, 1995","$7,506,759"
The Amazing Spider-Man,Action / Adventure,2 hrs. 16 min.,"July 3, 2012","$262,030,663"
The Amazing Spider-Man 2,Action / Adventure,2 hrs. 22 min.,"May 2, 2014","$202,853,933"
The Amazing Spider-Man 3,Action / Adventure,N/A,TBD,Unknown
The Amazing Spider-Man 4,Action / Adventure,N/A,TBD,Unknown
The Amazing Truth About Queen Raquela,Foreign,1 hrs. 25 min.,"September 26, 2008","$5,597"
Amazon Women on the Moon,Unknown,1 hrs. 25 min.,"September 18, 1987","$548,696"
The Ambassador,Documentary,1 hrs. 37 min.,"August 29, 2012",Unknown
Ambassador Bill,Comedy,1 hrs. 9 min.,"November 13, 1931",Unknown
Ambrose Bierce:Civil War Stories,War Drama,1 hrs. 24 min.,"September 14, 2006","$22,918"
Amelia,Historical Drama,2 hrs. 0 min.,"October 23, 2009","$14,245,415"
Amelie,Foreign,2 hrs. 2 min.,"November 2, 2001","$33,225,499"
Amen,Unknown,2 hrs. 12 min.,"January 24, 2003","$274,299"
America (2014),Documentary,1 hrs. 43 min.,"June 27, 2014","$14,444,502"
America Betrayed,Documentary,1 hrs. 34 min.,"March 27, 2009","$1,311"
America the Beautiful,Documentary,1 hrs. 45 min.,"May 9, 2008","$76,173"
America the Beautiful 2:The Thin Commandments,Documentary,N/A,"October 14, 2011","$12,366"
America's Heart and Soul,Documentary,1 hrs. 28 min.,"July 2, 2004","$314,402"
America's Sweethearts,Romantic Comedy,1 hrs. 42 min.,"July 20, 2001","$93,607,673"
America:Freedom to Fascism,Documentary,1 hrs. 45 min.,"July 28, 2006","$87,400"
The American,Drama / Thriller,1 hrs. 45 min.,"September 1, 2010","$35,606,376"
American Adobo,Comedy,1 hrs. 44 min.,"January 25, 2002","$344,992"
An American Affair,Drama,1 hrs. 33 min.,"February 27, 2009","$28,044"
American Animal,Comedy / Drama,1 hrs. 35 min.,"May 18, 2012","$5,928"
American Anthem,Sports Drama,1 hrs. 42 min.,"June 27, 1986","$4,845,724"
American Assassin,Action / Adventure,N/A,"September 15, 2017",Unknown
American Beauty,Drama,2 hrs. 2 min.,"September 15, 1999","$130,096,601"
American Buffalo,Drama,1 hrs. 28 min.,"September 13, 1996","$665,450"
American Cannibal,Documentary,1 hrs. 27 min.,"March 16, 2007","$16,566"
An American Carol,Comedy,1 hrs. 23 min.,"October 3, 2008","$7,013,191"
American Casino,Documentary,N/A,"August 14, 2009","$50,437"
American Chai,Unknown,1 hrs. 32 min.,"April 5, 2002","$127,518"
An American Crime,Crime Drama,1 hrs. 32 min.,N/A,Unknown
American Desi,Comedy,1 hrs. 40 min.,"March 16, 2001","$907,835"
American Dream,Documentary,1 hrs. 38 min.,"March 18, 1992","$269,823"
American Dreamer,Romantic Comedy,1 hrs. 45 min.,"October 26, 1984","$5,021,751"
American Dreamz,Comedy,1 hrs. 47 min.,"April 21, 2006","$7,191,830"
American Fable,Fantasy,1 hrs. 37 min.,"February 17, 2017",Unknown
American Flyers,Unknown,1 hrs. 53 min.,"August 16, 1985","$1,420,355"
The American Friend,Crime Drama,2 hrs. 7 min.,"September 26, 1977",Unknown
American Friends,Unknown,1 hrs. 35 min.,"April 9, 1993","$23,034"
American Gangster,Crime Drama,2 hrs. 40 min.,"November 2, 2007","$130,164,645"
American Gigolo,Romantic Thriller,1 hrs. 57 min.,"February 1, 1980","$22,743,674"
American Graffiti,Period Comedy,1 hrs. 50 min.,"August 1, 1973","$115,000,000"
American Grindhouse,Documentary,1 hrs. 20 min.,"June 18, 2010","$5,529"
American Gun,Drama,1 hrs. 35 min.,"March 22, 2006","$24,098"
American Hardcore,Documentary,1 hrs. 40 min.,"September 22, 2006","$279,665"
An American Haunting,Horror,1 hrs. 30 min.,"May 5, 2006","$16,298,046"
American Heart,Unknown,1 hrs. 53 min.,"May 7, 1993","$384,048"
American History X,Crime Drama,2 hrs. 7 min.,"October 30, 1998","$6,719,864"
American Honey,Drama,2 hrs. 42 min.,"September 30, 2016","$663,246"
American Hot Wax,Unknown,1 hrs. 31 min.,"March 17, 1978","$7,932,571"
American Hustle,Drama,2 hrs. 18 min.,"December 13, 2013","$150,117,807"
An American in Paris,Musical,1 hrs. 54 min.,"October 4, 1951",Unknown
American Made,Crime Thriller,N/A,"September 29, 2017",Unknown
American Made Movie,Documentary,1 hrs. 22 min.,"August 30, 2013","$45,175"
American Madness,Drama,1 hrs. 16 min.,"August 4, 1932",Unknown
American Me,Crime Drama,2 hrs. 6 min.,"March 13, 1992","$13,086,430"
American Meat,Documentary,N/A,"April 12, 2013","$10,650"
American Movie,Documentary,1 hrs. 47 min.,"November 5, 1999","$1,165,795"
American Mustang,Family,N/A,"January 17, 2014","$48,700"
American Ninja,Action,1 hrs. 35 min.,"August 30, 1985","$10,499,694"
American Ninja 2,Action,1 hrs. 29 min.,"May 1, 1987","$4,000,000"
American Ninja 3:Blood Hunt,Action,1 hrs. 30 min.,"February 24, 1989","$902,152"
American Ninja 4:The Annihilation,Action,1 hrs. 39 min.,"March 8, 1991","$358,047"
American Outlaws,Western,1 hrs. 34 min.,"August 17, 2001","$13,342,790"
American Pastoral,Drama,1 hrs. 48 min.,"October 21, 2016","$544,098"
American Pie,Comedy,1 hrs. 35 min.,"July 9, 1999","$102,561,004"
American Pie 2,Comedy,1 hrs. 44 min.,"August 10, 2001","$145,103,595"
American Pimp,Documentary,1 hrs. 27 min.,"June 9, 2000","$287,724"
American Pop,Animation,1 hrs. 36 min.,"February 13, 1981",Unknown
The American President,Romantic Comedy,1 hrs. 54 min.,"November 17, 1995","$60,079,496"
American Promise,Documentary,2 hrs. 15 min.,"October 18, 2013","$146,702"
American Psycho,Thriller,1 hrs. 44 min.,"April 14, 2000","$15,070,285"
American Reunion,Comedy,1 hrs. 53 min.,"April 6, 2012","$57,011,521"
An American Rhapsody,Drama,1 hrs. 46 min.,"August 10, 2001","$850,255"
American Sniper,Drama,2 hrs. 12 min.,"December 25, 2014","$350,126,372"
American Splendor,Comedy,1 hrs. 41 min.,"August 15, 2003","$6,010,990"
American Storytellers,Documentary,1 hrs. 30 min.,"November 7, 2003","$24,082"
American Strays,Unknown,1 hrs. 37 min.,"September 13, 1996","$1,910"
The American Success Company,Unknown,1 hrs. 34 min.,March 1980,Unknown
American Swing,Documentary,1 hrs. 21 min.,"March 27, 2009","$30,156"
An American Tail,Animation,1 hrs. 21 min.,"November 21, 1986","$47,483,002"
An American Tail:Fievel Goes West,Animation,1 hrs. 16 min.,"November 22, 1991","$22,166,041"
American Teacher,Documentary,1 hrs. 21 min.,"September 30, 2011","$33,144"
American Teen,Documentary,1 hrs. 35 min.,"July 25, 2008","$942,441"
American Ultra,Action Comedy,1 hrs. 36 min.,"August 21, 2015","$14,440,985"
American Violet,Drama,1 hrs. 43 min.,"April 17, 2009","$554,434"
American Wedding,Comedy,1 hrs. 42 min.,"August 1, 2003","$104,565,114"
An American Werewolf in London,Horror Comedy,1 hrs. 33 min.,"August 21, 1981","$30,565,292"
An American Werewolf in Paris,Horror Comedy,1 hrs. 38 min.,"December 25, 1997","$26,570,463"
American Zombie,Horror Comedy,1 hrs. 30 min.,"March 28, 2008","$3,126"
American:The Bill Hicks Story,Documentary,1 hrs. 42 min.,"April 8, 2011","$92,234"
Americanese,Comedy / Drama,N/A,TBD,Unknown
The Americanization of Emily,Comedy,1 hrs. 55 min.,"October 27, 1964",Unknown
Americanizing Shelley,Comedy,1 hrs. 30 min.,"April 26, 2007","$128,024"
Americathon,Unknown,1 hrs. 26 min.,"August 10, 1979","$6,171,763"
Americons,Thriller,1 hrs. 25 min.,"January 23, 2015","$28,782"
AmeriGeddon,Action,1 hrs. 30 min.,"May 13, 2016","$316,554"
Amexicano,Drama,1 hrs. 24 min.,"September 19, 2008","$8,655"
Amigo,Drama,2 hrs. 7 min.,"August 19, 2011","$184,705"
Amira & Sam,Romantic Comedy,1 hrs. 30 min.,"January 30, 2015","$31,849"
Amistad,Period Drama,2 hrs. 32 min.,"December 10, 1997","$44,229,441"
Amityville 3-D,Unknown,1 hrs. 33 min.,"November 18, 1983","$6,333,135"
The Amityville Horror,Horror,1 hrs. 59 min.,"July 27, 1979","$86,432,000"
The Amityville Horror (2005),Horror,1 hrs. 29 min.,"April 15, 2005","$65,233,369"
Amityville II:The Possession,Horror,1 hrs. 44 min.,"September 24, 1982","$12,534,817"
Amityville:The Awakening,Horror,1 hrs. 25 min.,TBD,Unknown
Among Giants,Unknown,1 hrs. 33 min.,"March 26, 1999","$65,748"
Among the Believers,Documentary,1 hrs. 24 min.,"September 30, 2016","$4,189"
Amongst Friends,Unknown,1 hrs. 28 min.,"July 23, 1993","$265,000"
Amores Perros,Foreign,2 hrs. 33 min.,"March 30, 2001","$5,408,467"
Amos & Andrew,Crime Comedy,1 hrs. 36 min.,"March 5, 1993","$9,745,803"
Amos Kolleck's Bad Girls,Unknown,1 hrs. 25 min.,"January 28, 1994","$14,320"
Amour,Foreign,2 hrs. 5 min.,"December 19, 2012","$6,739,492"
Amour Fou,Foreign,1 hrs. 36 min.,"March 18, 2015","$13,702"
Amreeka,Comedy,1 hrs. 36 min.,"September 4, 2009","$627,436"
Amsterdamned,Unknown,1 hrs. 45 min.,"November 23, 1988","$98,003"
Amu,Drama,1 hrs. 42 min.,"May 25, 2007","$51,251"
Amusement,Horror,1 hrs. 25 min.,N/A,Unknown
Amusement Park,Animation,N/A,"August 10, 2018",Unknown
Amy,Documentary,2 hrs. 8 min.,"July 3, 2015","$8,413,144"
Amy,Unknown,N/A,"March 20, 1981",Unknown
Amy's Orgasm,Romantic Comedy,1 hrs. 25 min.,"August 23, 2002","$119,664"
Dunkirk,Action Thriller,1 hrs. 46 min.,"July 21, 2017",Unknown
Anaconda,Horror,1 hrs. 29 min.,"April 11, 1997","$65,885,767"
Anacondas:The Hunt for the Blood Orchid,Horror,1 hrs. 33 min.,"August 27, 2004","$32,238,923"
Analyze That,Crime Comedy,1 hrs. 40 min.,"December 6, 2002","$32,130,627"
Analyze This,Crime Comedy,1 hrs. 43 min.,"March 5, 1999","$106,885,658"
Anamorph,Drama / Thriller,1 hrs. 43 min.,"April 18, 2008","$6,950"
The Anarchist Cookbook,Unknown,1 hrs. 41 min.,"July 18, 2003","$14,369"
Anastasia,Animation,1 hrs. 34 min.,"November 14, 1997","$58,406,347"
Anatahan (2017 re-release),War,1 hrs. 32 min.,"February 3, 2017","$8,171"
Anatomy,Foreign,1 hrs. 43 min.,"September 8, 2000","$9,660"
Anatomy 2,Foreign,1 hrs. 41 min.,"August 13, 2004",$623
Anatomy of a Murder,Drama / Thriller,2 hrs. 40 min.,"July 1, 1959",Unknown
Anatomy of Hell,Foreign,1 hrs. 20 min.,"September 24, 2004","$34,506"
Anchor Baby,Drama / Thriller,1 hrs. 35 min.,"July 8, 2011","$15,790"
Anchorman 2 (R-Rated Extended Cut),Comedy,2 hrs. 23 min.,"February 28, 2014","$2,184,339"
Anchorman 2:The Legend Continues,Comedy,1 hrs. 59 min.,"December 18, 2013","$125,168,368"
Anchorman:The Legend of Ron Burgundy,Comedy,1 hrs. 31 min.,"July 9, 2004","$85,288,303"
Anchors Aweigh,Musical,2 hrs. 20 min.,"July 14, 1945",Unknown
And Everything is Going Fine,Documentary,1 hrs. 29 min.,"December 10, 2010","$22,080"
And God Created Woman,Unknown,1 hrs. 40 min.,"March 4, 1988","$717,376"
And God Spoke,Unknown,1 hrs. 22 min.,"September 23, 1994","$58,484"
And Now Ladies and Gentlemen,Romance,2 hrs. 6 min.,"August 1, 2003","$736,872"
And So It Goes,Comedy / Drama,1 hrs. 34 min.,"July 25, 2014","$15,160,801"
And Then Came Love,Romantic Comedy,1 hrs. 30 min.,"June 1, 2007","$13,944"
And They're Off,Comedy,1 hrs. 30 min.,"October 28, 2011",Unknown
And While We Were Here,Romance,1 hrs. 24 min.,"September 13, 2013","$7,750"
The Anderson Tapes,Unknown,1 hrs. 35 min.,"June 17, 1971",Unknown
Andre,Family Adventure,1 hrs. 34 min.,"August 19, 1994","$16,820,893"
Andre Gregory:Before and After Dinner,Documentary,1 hrs. 48 min.,"April 3, 2013","$42,892"
Andre Rieu's 2015 Maastricht Concert,Unknown,N/A,TBD,Unknown
Andre Rieu's 2016 Maastricht Concert,Concert,3 hrs. 15 min.,TBD,Unknown
Andrei Tarkovsky Retrospective,Unknown,N/A,"September 13, 2002","$177,345"
Anesthesia,Drama / Thriller,1 hrs. 30 min.,"January 8, 2016","$26,799"
Angel,Action Thriller,1 hrs. 34 min.,"January 13, 1984","$17,488,564"
Angel and the Badman,Western,1 hrs. 40 min.,"February 15, 1947",Unknown
An Angel at My Table,Drama,2 hrs. 36 min.,"May 17, 1991","$1,054,638"
Angel Eyes,Romance,1 hrs. 42 min.,"May 18, 2001","$24,174,218"
Angel Face,Crime Drama,1 hrs. 31 min.,"December 11, 1952",Unknown
Angel Heart,Horror Thriller,1 hrs. 53 min.,"March 6, 1987","$17,185,632"
Angel Town,Action,1 hrs. 42 min.,"February 23, 1990","$855,810"
Angel-A,Foreign,1 hrs. 31 min.,"May 25, 2007","$202,647"
Angela's Ashes,Period Drama,2 hrs. 25 min.,"December 25, 1999","$13,042,112"
Angels & Demons,Thriller,2 hrs. 20 min.,"May 15, 2009","$133,375,846"
Angels and Insects,Drama,1 hrs. 58 min.,"January 26, 1996","$3,414,301"
Angels Crest,Drama,1 hrs. 36 min.,"December 30, 2011",Unknown
Angels in the Dust,Documentary,1 hrs. 35 min.,"September 14, 2007","$11,606"
Angels in the Outfield (1951),Family Comedy,1 hrs. 39 min.,"October 17, 1951",Unknown
Angels in the Outfield (1994),Family Comedy,1 hrs. 43 min.,"July 15, 1994","$50,236,831"
The Angels' Share,Comedy / Drama,1 hrs. 41 min.,"April 12, 2013","$346,669"
Anger Management,Comedy,1 hrs. 41 min.,"April 11, 2003","$135,645,823"
Angie,Comedy / Drama,1 hrs. 48 min.,"March 4, 1994","$9,398,308"
The Angry Birds Movie,Animation,1 hrs. 37 min.,"May 20, 2016","$107,509,366"
The Angry Birds Movie 2,Animation,N/A,"September 20, 2019",Unknown
Angus,Comedy,1 hrs. 31 min.,"September 15, 1995","$4,821,759"
The Animal,Comedy,1 hrs. 23 min.,"June 1, 2001","$57,743,062"
Animal Behavior,Unknown,1 hrs. 25 min.,"October 27, 1989","$41,526"
Animal Crackers,Comedy,1 hrs. 37 min.,"August 28, 1930",Unknown
Animal Factory,Unknown,1 hrs. 34 min.,"October 20, 2000","$43,805"
Animal House (1979 re-issue),Comedy,1 hrs. 49 min.,"September 21, 1979","$21,508,877"
Animal Kingdom,Crime Drama,1 hrs. 52 min.,"August 13, 2010","$1,044,039"
Animals (2015),Drama,1 hrs. 30 min.,"May 15, 2015","$21,821"
Animated Spider-Man,Animation,N/A,"December 14, 2018",Unknown
The Animation Show,Animation,1 hrs. 25 min.,"February 18, 2005","$246,520"
The Animation Show,Unknown,1 hrs. 34 min.,"September 5, 2003","$366,344"
Anita,Documentary,1 hrs. 17 min.,"March 21, 2014","$176,979"
Anita Ho,Drama,1 hrs. 23 min.,"February 27, 2015","$2,250"
Anjaana Anjaani,Foreign,2 hrs. 35 min.,"October 1, 2010","$854,757"
Anna,Thriller,1 hrs. 39 min.,"June 6, 2014",Unknown
Anna (1987),Unknown,1 hrs. 41 min.,1987,"$1,236,848"
Anna and the King,Period Drama,2 hrs. 28 min.,"December 17, 1999","$39,263,420"
Anna Christie,Drama,1 hrs. 29 min.,"February 21, 1930",Unknown
Anna Karenina,Drama,2 hrs. 10 min.,"November 16, 2012","$12,816,367"
Anna Karenina (1935),Drama,1 hrs. 33 min.,"August 30, 1935",Unknown
Anna Karenina (1948),Drama,1 hrs. 51 min.,"April 27, 1948",Unknown
Anna Karenina (1997),Romance,1 hrs. 48 min.,"April 4, 1997","$858,553"
Annabelle,Horror,1 hrs. 35 min.,"October 3, 2014","$84,273,813"
Annabelle:Creation,Horror,N/A,"August 11, 2017",Unknown
Annapolis,Action Drama,1 hrs. 48 min.,"January 27, 2006","$17,127,992"
Annapolis Salute,Romance,1 hrs. 5 min.,"September 10, 1937",Unknown
Anne Boleyn,Historical Drama,1 hrs. 58 min.,"April 17, 1921",Unknown
Anne Frank Remembered,Documentary,2 hrs. 2 min.,"February 23, 1996","$1,310,200"
Anne of Green Gables,Family,1 hrs. 18 min.,"November 23, 1934",Unknown
Anne of the Thousand Days,Historical Drama,2 hrs. 25 min.,"December 18, 1969",Unknown
Annie,Musical,2 hrs. 7 min.,"May 21, 1982","$57,059,003"
Annie (2014),Musical,1 hrs. 58 min.,"December 19, 2014","$85,911,262"
Annie Brocoli dans les fonds marin,Unknown,N/A,"December 19, 2003","$374,360"
Annie Hall,Romantic Comedy,1 hrs. 33 min.,"April 20, 1977","$38,251,425"
The Anniversary Party,Comedy / Drama,1 hrs. 55 min.,"June 8, 2001","$4,047,329"
Anohana The Movie:The Flower We Saw That Day,Animation,1 hrs. 46 min.,"January 18, 2014",Unknown
Anomalisa,Animation,1 hrs. 30 min.,"December 30, 2015","$3,759,286"
Anonymous,Period Drama,2 hrs. 10 min.,"October 28, 2011","$4,463,292"
Anonymous (2016),Drama,1 hrs. 35 min.,"December 2, 2016","$11,239"
The Anonymous People,Documentary,N/A,"August 16, 2013","$284,147"
Another 48 HRS.,Action Comedy,1 hrs. 35 min.,"June 8, 1990","$80,818,974"
Another Country,Unknown,1 hrs. 30 min.,"June 29, 1984",Unknown
Another Day in Paradise,Crime,1 hrs. 41 min.,"December 30, 1998","$1,036,818"
Another Earth,Drama,1 hrs. 32 min.,"July 22, 2011","$1,321,194"
Another Gay Movie,Comedy,1 hrs. 32 min.,"July 28, 2006","$654,132"
Another Gay Sequel:Gays Gone Wild,Comedy,1 hrs. 30 min.,"August 29, 2008","$104,828"
Another Happy Day,Drama,1 hrs. 55 min.,"November 18, 2011","$8,464"
Another Stakeout,Action Comedy,1 hrs. 49 min.,"July 23, 1993","$20,208,496"
Another Thin Man,Comedy Thriller,1 hrs. 43 min.,"November 17, 1939",Unknown
"Another Time, Another Place",Drama,1 hrs. 38 min.,"May 2, 1958",Unknown
Another Woman,Unknown,1 hrs. 21 min.,"October 14, 1988","$1,562,749"
Another Year,Drama,2 hrs. 9 min.,"December 29, 2010","$3,205,706"
Another You,Comedy,1 hrs. 34 min.,"July 26, 1991","$2,865,916"
The Answer Man,Comedy,1 hrs. 35 min.,"July 24, 2009","$26,676"
Answers to Nothing,Drama,2 hrs. 3 min.,"December 2, 2011","$22,029"
The Ant Bully,Animation,1 hrs. 22 min.,"July 28, 2006","$28,142,535"
Ant-Man,Action / Adventure,1 hrs. 57 min.,"July 17, 2015","$180,202,163"
Ant-Man and the Wasp,Action,N/A,"July 6, 2018",Unknown
Antarctic Edge,Documentary,1 hrs. 12 min.,"April 17, 2015","$7,193"
Antarctica,Foreign,1 hrs. 50 min.,"August 29, 2008","$21,679"
Antarctica:A Year on Ice,Documentary,1 hrs. 31 min.,"November 28, 2014","$288,757"
Antarctica:Ice & Sky,Documentary,1 hrs. 29 min.,"January 20, 2017","$14,475"
Antboy,Foreign,1 hrs. 17 min.,"April 16, 2014",Unknown
Anthony Kaun Hai,Foreign,2 hrs. 7 min.,"August 4, 2006","$55,418"
Anthropoid,War Drama,2 hrs. 0 min.,"August 12, 2016","$2,964,845"
The Anthropologist,Documentary,1 hrs. 18 min.,"November 11, 2016",Unknown
Antichrist,Horror,1 hrs. 44 min.,"October 23, 2009","$404,122"
Antitrust,Thriller,1 hrs. 48 min.,"January 12, 2001","$11,328,094"
Antoine and Antoinette (2013 re-issue),Foreign,1 hrs. 24 min.,"September 25, 2013","$9,704"
Antonia,Foreign,1 hrs. 29 min.,"September 21, 2007","$3,550"
Antonia and Jane,Comedy,1 hrs. 11 min.,"October 11, 1991","$1,002,078"
Antonia's Line,Foreign,1 hrs. 42 min.,"February 2, 1996","$4,228,275"
Antwone Fisher,Drama,2 hrs. 0 min.,"December 19, 2002","$21,078,145"
Antz,Animation,1 hrs. 24 min.,"October 2, 1998","$90,757,863"
Anubis,Animation,N/A,TBD,Unknown
Anvil! The Story of Anvil,Documentary,1 hrs. 30 min.,"April 10, 2009","$667,911"
Any Day Now,Drama,1 hrs. 37 min.,"December 14, 2012","$201,395"
Any Given Sunday,Sports Drama,2 hrs. 37 min.,"December 22, 1999","$75,530,832"
Any Which Way You Can,Action Comedy,1 hrs. 56 min.,"December 17, 1980","$70,687,344"
Anything But Love,Romantic Comedy,1 hrs. 39 min.,"November 14, 2003","$81,451"
Anything Else,Romantic Comedy,1 hrs. 48 min.,"September 19, 2003","$3,212,310"
Anything For Alice,Foreign,1 hrs. 39 min.,"December 17, 2014","$1,092"
Anywhere But Here,Drama,1 hrs. 54 min.,"November 12, 1999","$18,670,401"
Dunkirk,Action Thriller,1 hrs. 46 min.,"July 21, 2017",Unknown
Apaharan,Foreign,2 hrs. 53 min.,"December 2, 2005","$44,133"
Apart (2012),Drama,1 hrs. 26 min.,"March 9, 2012","$3,161"
Apartment 1303,Horror,1 hrs. 25 min.,"July 25, 2013",Unknown
Apartment 143,Horror,1 hrs. 20 min.,"June 1, 2012",$383
Apartment Zero,Unknown,2 hrs. 4 min.,"September 15, 1989","$1,267,578"
Apocalypse Now,War,2 hrs. 33 min.,"August 15, 1979","$78,784,010"
Apocalypse Now (Re-issue),Unknown,2 hrs. 33 min.,"August 28, 1987","$61,211"
Apocalypse Now Redux,War Drama,3 hrs. 22 min.,"August 3, 2001","$4,626,290"
Apocalypto,Period Adventure,2 hrs. 18 min.,"December 8, 2006","$50,866,635"
Apollo 13,Action Thriller,2 hrs. 20 min.,"June 30, 1995","$172,071,312"
Apollo 13:The IMAX Experience (IMAX),IMAX,1 hrs. 56 min.,"September 20, 2002","$1,766,621"
Apollo 18,Sci-Fi Thriller,1 hrs. 26 min.,"September 2, 2011","$17,687,709"
The Apostle,Drama,2 hrs. 13 min.,"December 19, 1997","$19,868,354"
Appaloosa,Western,1 hrs. 48 min.,"September 19, 2008","$20,211,394"
